order_id,user_id,product_id,quantity,unit_price,total_amount,order_date,status,payment_method
ORD-00001,U109,P019,2,17700.0,35400.0,2024-11-19T16:53:54Z,completed,e_wallet
ORD-00002,U109,P020,1,2300.0,2300.0,2025-01-30T22:27:12Z,completed,e_wallet
ORD-00003,U109,P098,5,5970.0,29850.0,2025-01-18T14:43:20Z,completed,e_wallet
ORD-00004,U109,P042,3,970.0,2910.0,2024-10-14T06:14:13Z,completed,bank_transfer
ORD-00005,U109,P036,5,890.0,4450.0,2025-01-07T12:21:40Z,completed,convenience_store
ORD-00006,U109,P058,1,1580.0,1580.0,2024-11-25T17:52:33Z,completed,credit_card
ORD-00007,U109,P079,5,8800.0,44000.0,2024-12-29T20:23:33Z,completed,credit_card
ORD-00008,U109,P058,5,1580.0,7900.0,2024-12-02T10:25:23Z,completed,e_wallet
ORD-00009,U109,P020,1,2300.0,2300.0,2024-12-06T16:32:09Z,refunded,credit_card
ORD-00010,U109,P065,2,37900.0,75800.0,2024-12-25T00:06:05Z,refunded,e_wallet
ORD-00011,U109,P067,5,19000.0,95000.0,2024-12-12T09:36:58Z,cancelled,convenience_store
ORD-00012,U109,P053,3,3240.0,9720.0,2024-10-11T04:02:27Z,completed,bank_transfer
ORD-00013,U109,P009,3,23000.0,69000.0,2024-12-15T01:31:11Z,completed,e_wallet
ORD-00014,U109,P020,3,2300.0,6900.0,2024-10-28T11:06:14Z,cancelled,bank_transfer
ORD-00015,U109,P084,4,3200.0,12800.0,2024-10-17T10:49:09Z,completed,convenience_store
ORD-00016,U109,P083,3,4200.0,12600.0,2025-01-11T05:10:14Z,completed,convenience_store
ORD-00017,U109,P066,3,40543.76,121631.28,2024-11-11T14:12:36Z,completed,convenience_store
ORD-00018,U109,P025,2,20400.0,40800.0,2024-10-31T02:05:48Z,completed,credit_card
ORD-00019,U131,P099,5,1830.0,9150.0,2025-01-11T05:48:54Z,completed,bank_transfer
ORD-00020,U131,P099,5,1830.0,9150.0,2024-12-13T03:38:30Z,completed,debit_card
ORD-00021,U131,P089,5,1910.0,9550.0,2024-11-02T03:28:06Z,completed,credit_card
ORD-00022,U131,P053,3,3240.0,9720.0,2024-11-16T02:58:15Z,refunded,e_wallet
ORD-00023,U131,P037,4,3780.0,15120.0,2024-11-16T10:36:21Z,completed,convenience_store
ORD-00024,U131,P025,3,20400.0,61200.0,2025-01-19T18:20:49Z,refunded,convenience_store
ORD-00025,U131,P099,3,1830.0,5490.0,2025-01-06T15:42:54Z,completed,debit_card
ORD-00026,U131,P026,5,3100.0,15500.0,2024-11-18T13:05:57Z,completed,convenience_store
ORD-00027,U131,P048,5,2030.0,10150.0,2025-01-09T04:18:43Z,cancelled,bank_transfer
ORD-00028,U131,P011,2,27900.0,55800.0,2025-01-08T16:23:49Z,completed,convenience_store
ORD-00029,U131,P012,2,76600.0,153200.0,2024-12-07T21:11:04Z,cancelled,convenience_store
ORD-00030,U131,P007,4,16700.0,66800.0,2024-11-15T18:48:19Z,completed,credit_card
ORD-00031,U131,P048,2,2513.63,5027.26,2024-12-05T02:33:58Z,completed,debit_card
ORD-00032,U131,P005,3,3400.0,10200.0,2024-12-31T17:47:58Z,completed,debit_card
ORD-00033,U131,P098,4,5970.0,23880.0,2024-10-02T00:28:20Z,cancelled,credit_card
ORD-00034,U131,P033,2,4580.0,9160.0,2025-01-15T13:36:47Z,cancelled,e_wallet
ORD-00035,U049,P055,1,4630.0,4630.0,2024-11-16T03:29:01Z,completed,credit_card
ORD-00036,U049,P031,4,1300.0,5200.0,2025-01-29T22:30:27Z,completed,credit_card
ORD-00037,U049,P064,5,48200.0,241000.0,2025-01-31T17:07:24Z,completed,debit_card
ORD-00038,U049,P092,2,2870.0,5740.0,2024-10-01T07:17:25Z,completed,debit_card
ORD-00039,U049,P074,4,5100.0,20400.0,2024-10-17T14:59:23Z,completed,bank_transfer
ORD-00040,U049,P009,5,23000.0,115000.0,2025-01-07T13:41:33Z,completed,convenience_store
ORD-00041,U049,P061,1,38400.0,38400.0,2024-12-12T11:42:54Z,completed,credit_card
ORD-00042,U049,P046,1,3560.0,3560.0,2025-01-30T23:53:22Z,completed,e_wallet
ORD-00043,U049,P095,3,2140.0,6420.0,2024-12-08T09:49:57Z,completed,debit_card
ORD-00044,U049,P100,4,8560.0,34240.0,2025-01-01T22:07:00Z,completed,debit_card
ORD-00045,U049,P009,4,23000.0,92000.0,2024-11-09T03:28:55Z,completed,debit_card
ORD-00046,U049,P006,3,40900.0,122700.0,2025-01-09T01:51:41Z,completed,e_wallet
ORD-00047,U049,P061,3,38400.0,115200.0,2024-11-07T02:36:23Z,completed,credit_card
ORD-00048,U049,P084,3,3200.0,9600.0,2024-12-11T11:05:37Z,completed,convenience_store
ORD-00049,U049,P096,4,5920.0,23680.0,2024-12-15T01:53:42Z,completed,debit_card
ORD-00050,U049,P064,4,48200.0,192800.0,2025-01-09T20:00:03Z,completed,credit_card
ORD-00051,U093,P055,1,4630.0,4630.0,2024-11-05T00:59:17Z,completed,bank_transfer
ORD-00052,U093,P014,1,68000.0,68000.0,2024-11-27T09:46:55Z,completed,e_wallet
ORD-00053,U093,P092,4,2870.0,11480.0,2024-12-26T04:45:46Z,completed,credit_card
ORD-00054,U093,P094,3,6720.0,20160.0,2024-12-24T10:58:10Z,completed,credit_card
ORD-00055,U093,P010,4,60900.0,243600.0,2024-11-01T01:35:31Z,refunded,debit_card
ORD-00056,U093,P078,4,2400.0,9600.0,2024-10-14T01:19:48Z,completed,bank_transfer
ORD-00057,U093,P047,4,3880.0,15520.0,2024-10-07T06:55:35Z,completed,convenience_store
ORD-00058,U093,P048,3,2030.0,6090.0,2024-10-15T22:18:43Z,completed,e_wallet
ORD-00059,U093,P047,4,3880.0,15520.0,2024-11-24T02:47:18Z,completed,credit_card
ORD-00060,U093,P004,2,7900.0,15800.0,2024-12-15T03:29:30Z,cancelled,credit_card
ORD-00061,U093,P034,3,1220.0,3660.0,2024-11-11T15:58:14Z,refunded,bank_transfer
ORD-00062,U093,P089,4,1910.0,7640.0,2024-10-27T08:32:24Z,cancelled,convenience_store
ORD-00063,U093,P023,4,14100.0,56400.0,2024-12-02T01:23:13Z,completed,credit_card
ORD-00064,U093,P071,5,900.0,4500.0,2024-11-28T05:53:57Z,cancelled,debit_card
ORD-00065,U093,P047,5,3880.0,19400.0,2024-11-09T00:38:11Z,completed,debit_card
ORD-00066,U093,P064,1,48200.0,48200.0,2025-01-20T03:00:21Z,completed,e_wallet
ORD-00067,U093,P017,5,3300.0,16500.0,2024-10-13T18:24:30Z,completed,convenience_store
ORD-00068,U093,P068,4,22800.0,91200.0,2025-01-20T15:13:50Z,completed,bank_transfer
ORD-00069,U093,P083,1,4200.0,4200.0,2025-01-09T11:04:20Z,completed,e_wallet
ORD-00070,U194,P076,2,11700.0,23400.0,2024-10-26T01:20:13Z,completed,credit_card
ORD-00071,U194,P016,5,16600.0,83000.0,2024-11-01T23:21:27Z,completed,debit_card
ORD-00072,U194,P045,5,1630.0,8150.0,2024-10-16T07:30:49Z,completed,e_wallet
